,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PAR,1.19,1.18,1.16,1.15,1.15,1.13,1.11,1.1,1.09,1.08,1.07,1.07,1.06,1.06,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.03,1.03,1.03,1.03
step_size,1.0,0.014000000000000005,0.011000000000000003,0.009000000000000001,0.008,0.016000000000000007,0.015000000000000006,0.010000000000000002,0.011000000000000003,0.007,0.005,0.008,0.004,0.004,0.005,0.002,0.002,0.002,0.006,0.003,0.001,0.002,0.002,0.001,0.0
inconvenient,0.0,97150.59200000003,67701.49548800002,58948.49254060801,42251.23605967514,53039.45222304523,66144.33821665436,55008.70661783347,34239.83522720384,31080.330153409577,14567.413349232953,16064.700693206138,11668.893197227177,18180.44042721109,9452.297797863945,12675.839404404272,7387.398321191192,10289.525203357618,8921.438848779853,4926.982683453661,2325.3820173165464,1573.873235965367,2130.382253528069,4410.803617746473,4410.803617746473
total_demand,76669746.0,76669746.0,76669745.99999999,76669746.0,76669746.0,76669745.99999997,76669745.99999999,76669746.00000001,76669746.0,76669746.0,76669745.99999999,76669745.99999999,76669746.00000001,76669745.99999999,76669745.99999999,76669745.99999999,76669746.0,76669745.99999997,76669745.99999999,76669745.99999997,76669745.99999999,76669746.0,76669746.0,76669746.00000001,76669746.00000001
max_demand,1907861.0,1881323.8687955507,1860732.4692531137,1844052.7073314197,1829351.8160106023,1800300.6880567812,1773484.392623376,1755829.1430486683,1736611.3039448052,1724491.4329339236,1715886.2034472898,1702207.0626637966,1695408.4528304033,1688636.9846898601,1680210.6692583293,1676851.9281304819,1673499.9071231491,1670154.58680581,1660158.678225728,1655183.1899979298,1653528.009807932,1650222.613313326,1646923.8183093127,1645276.8974910034,1645276.8974910034
cost,1436006031.9,1383638640.24,1349188788.44,1325493759.32,1306688164.26,1277350475.07,1254086552.48,1241577078.09,1230288475.63,1224953802.5,1221818701.01,1216938968.35,1215091930.65,1213561746.91,1212031841.68,1211428540.81,1210927494.91,1210501709.83,1209571915.63,1209158590.64,1209045142.77,1208881287.07,1208759805.68,1208725102.78,1208725102.78
run_time,0.0,0.00790095329284668,0.006198883056640625,0.0048770904541015625,0.005151271820068359,0.00842595100402832,0.007840633392333984,0.006119966506958008,0.006880998611450195,0.003612995147705078,0.0042400360107421875,0.004656076431274414,0.0045130252838134766,0.0023469924926757812,0.0027060508728027344,0.0023050308227539062,0.0017549991607666016,0.0018999576568603516,0.0036470890045166016,0.0033059120178222656,0.0020470619201660156,0.003944873809814453,0.0020651817321777344,0.00151824951171875,0.0009379386901855469
objective,1436006031.9,1383735790.832,1349256489.935488,1325552707.8125405,1306730415.4960597,1277403514.522223,1254152696.8182166,1241632086.7966177,1230322715.4652274,1224984882.8301535,1221833268.4233491,1216955033.050693,1215103599.5431974,1213579927.3504274,1212041293.977798,1211441216.6494043,1210934882.3083212,1210511999.3552034,1209580837.0688488,1209163517.6226835,1209047468.1520174,1208882860.9432359,1208761936.0622537,1208729513.5836177,1208729513.5836177
