,0,1,2,3,4,5,6,7
max_demand,95928.0,201769.0,259019.0,172550.0,157797.0,132567.0,140814.0,92728.0
step_size,1.0,0.19300000000000003,0.09299999999999999,0.08299999999999999,0.066,0.039999999999999994,0.011,0.0
objective,29778233.7,27635417.0,27638518.0,27635678.0,27632691.0,27631693.0,27630323.0,27629578.0
total_demand,1973496.0,1973496.0,1973496.0,1973496.0,1973496.0,1973496.0,1973496.0,1973496.0
cost,29778233.7,27628990.0,27629667.0,27629158.0,27629092.0,27629102.0,27628985.0,27628944.0
PAR,2.33,4.91,6.3,4.2,3.84,3.22,3.42,2.26
run_time,0.0,0.002,0.003,0.004,0.003,0.005,0.002,0.002
inconvenient,0.0,6427.0,8851.0,6520.0,3599.0,2591.0,1338.0,634.0
