,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,69045,102712.0,-48.80%,1.67,2.49,-49.10%,31745852.0,27768613.0,12.50%,31745852.0,27764640.0,12.50%,0.001
heuristic_fw,5,1,piece-wise,69045,44854.994372249064,35.00%,1.67,1.09,34.70%,31745852.0,27899640.31551178,12.10%,31745852.0,27899582.66,12.10%,0.001
