,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
PAR,1.27,25.33,27.63,28.17,25.7,26.48,25.61,29.28,15.34,16.39,16.41,14.36,17.32,27.6,13.11,17.95,27.66,22.06,13.1,25.53,3.38,8.14,14.63,12.76,12.47,12.41,11.6,17.11,10.46,18.22,18.41,13.19,17.84,19.65,31.33
step_size,1.0,0.016000000000000007,0.013000000000000005,0.011000000000000003,0.012000000000000004,0.011000000000000003,0.009000000000000001,0.007,0.014000000000000005,0.010000000000000002,0.009000000000000001,0.011000000000000003,0.005,0.003,0.006,0.003,0.002,0.003,0.004,0.002,0.016009179544414456,0.005,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.0
inconvenient,0.0,4937236.0,5988731.0,5488691.0,4642689.0,4763544.0,5814773.0,6477070.0,3564980.0,2679053.0,3376757.0,4557475.0,4741793.0,3601081.0,2566749.0,2506710.0,3201235.0,3683484.0,2269385.0,2812200.0,414603.0,1509757.0,2090689.0,1637172.0,1967900.0,1773789.0,1835032.0,2643483.0,1628855.0,2529010.0,3488107.0,1992772.0,2901231.0,2933160.0,3213169.0
total_demand,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0,77590148.0
max_demand,2049355.0,40944866.0,44667448.0,45527972.0,41542522.0,42798917.0,41400172.0,47324620.0,24801781.0,26499883.0,26526939.0,23209873.0,27998312.0,44615105.0,21188533.0,29021932.0,44703806.0,35662960.0,21180639.0,41264094.0,5469808.0,13153008.0,23641932.0,20629507.0,20153921.0,20056474.0,18747551.0,27655016.0,16910650.0,29446523.0,29757207.0,21324868.0,28837109.0,31755410.0,50643476.0
cost,1309175732.8,14912689950.8,15954593989.0,15808329233.6,14590598227.6,14645094520.4,15373060658.4,15182697327.0,14977661782.0,14044826359.0,13236372592.1,13708534770.0,14664316204.2,15163461957.3,14835525374.0,14601447008.8,15573142183.9,15146094036.0,14833191932.8,15444089170.8,7574524204.8,13069608062.0,13081252885.4,12647686288.0,12945266448.0,13457371704.6,13577682011.2,14268621301.2,13557398554.7,14610909964.4,14996612362.8,13132729790.2,15373982712.0,14994626620.2,15242443919.4
run_time,0.0,2678.9800000000027,1517.6599999999773,1257.8699999999799,1063.7599999999966,1116.489999999991,1277.95999999998,1112.1600000000014,1409.3899999999767,1073.8299999999963,1129.6799999999878,1004.8000000000137,1072.3699999999994,1027.4700000000107,1211.2299999999793,1076.4599999999962,1051.8100000000072,997.2800000000226,1203.2699999999807,1330.2399999999716,1192.8899999999724,1102.3399999999806,1575.8099999999731,1642.1299999999758,1619.669999999974,1559.09999999998,1641.6699999999796,1541.8899999999746,1505.7799999999718,1562.519999999977,1130.769999999989,1546.4599999999732,1230.3999999999758,1685.2499999999854,2145.0999999999817
objective,1309175732.8,14917627186.8,15960582720.0,15813817924.6,14595240916.6,14649858064.4,15378875431.4,15189174397.0,14981226762.0,14047505412.0,13239749349.1,13713092245.0,14669057997.2,15167063038.3,14838092123.0,14603953718.8,15576343418.9,15149777520.0,14835461317.8,15446901370.8,7574938807.8,13071117819.0,13083343574.4,12649323460.0,12947234348.0,13459145493.6,13579517043.2,14271264784.2,13559027409.7,14613438974.4,15000100469.8,13134722562.2,15376883943.0,14997559780.2,15245657088.4
