,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,308235,2249719.0,-629.90%,1.58,11.56,-631.60%,140788672.4,130996871.0,7.00%,140788672.4,130825164.0,7.10%,0.502
heuristic_fw,308235,226812.14113070807,26.40%,1.58,1.17,25.90%,140788672.4,131795047.05401284,6.40%,140788672.4,131793632.92,6.40%,0.002
