,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,41534,54742.0,-31.80%,1.92,2.53,-31.80%,16362806.1,14580642.0,10.90%,16362806.1,14579982.0,10.90%,0.001
heuristic_fw,5,50,1,piece-wise,41534,26629.88599226727,35.90%,1.92,1.23,35.90%,16362806.1,14612563.31269671,10.70%,16362806.1,14612521.81,10.70%,0.002
