,0,1,2
objective,6666906.0,6650307.3,6666906.0
run_time,0.0,6.4300000000000015,6.09
max_demand,36000.0,36700.0,36000.0
inconvenient,0.0,482.0,0.0
cost,6666906.0,6649825.3,6666906.0
total_demand,420631.0,420631.0,420631.0
PAR,4.11,4.19,4.11
step_size,1.0,0.6138832523891168,0.0
