,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,99369,111589.0,-12.30%,2.29,2.58,-12.70%,31479589.5,29098727.0,7.60%,31479589.5,29097764.0,7.60%,0.001
heuristic_fw,5,100,1,piece-wise,99369,64976.73729170452,34.60%,2.29,1.5,34.50%,31479589.5,29160855.201261036,7.40%,31479589.5,29160750.14,7.40%,0.001
