,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,11364,5771,9745,12237,11171,22541,12792,28332,23207,8815,9735,10113,11472,5104,10018,28167,23551,15608,13533,8140,13020,12377,8669,20669,8635,31211,14210,27690,32400,13785,35715,36191,13059,15525,31984,47728,38198,35242,26706,16794,3784,8479,10131,14379,14765,11730,11621,14743
1,4210,5071,9610,11967,13095,24728,12747,31258,30031,10659,12375,12693,11502,7464,16918,30459,23627,22884,16825,7940,13020,14527,19519,44279,29260,8,56778,53850,30,7300,0,0,45254,39499,110,0,0,0,61484,42121,15814,8429,10093,14379,14765,13110,17735,13429
2,4210,5071,20365,12067,11296,22554,12456,24921,14390,2715,9735,10233,11472,8584,11383,30507,29850,15614,13225,7944,15320,27277,22969,31259,9730,31616,14890,0,30150,18585,35715,37261,28340,47168,46474,0,14270,32862,0,17994,15274,10379,11389,14379,14765,13034,17735,13429
3,4210,5071,9865,12067,11049,22615,20456,36840,14119,4319,13935,14388,11817,5134,10108,28429,23873,15584,13585,11440,20020,12377,9019,21764,16110,30986,12860,23690,20400,9785,35715,36161,13044,15525,31984,41633,33848,29342,24406,23694,5084,10379,10739,14409,14780,13034,17735,13429
