,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,47728,41633.0,12.80%,2.69,2.35,12.60%,12818012.5,11912072.0,7.10%,12818012.5,11911984.0,7.10%,0.001
heuristic_fw,5,1,piece-wise,47728,29187.293342191864,38.80%,2.69,1.65,38.70%,12818012.5,11925663.352443,7.00%,12818012.5,11925649.89,7.00%,0.002
