,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,1796.39,3,2000,5,1,piece-wise,1087957,25299974.0,-22.255,1.34,31.17,-22.261,610825058.1,7752596949.0,-11.692,610825058.1,7750141241.0,-11.688
1,0,optimal_fw,0.002,3,2000,5,1,piece-wise,1087957,1045087.1532515701,0.039,1.34,1.29,0.037,610825058.1,587617012.1306,0.038,610825058.1,587597967.5,0.038
2,0,heuristic,6.581,7,2000,5,1,piece-wise,1087957,12311473.0,-10.316,1.34,15.17,-10.321,610825058.1,7263979461.8,-10.892,610825058.1,7261903518.8,-10.889
3,0,heuristic_fw,0.004,7,2000,5,1,piece-wise,1087957,984026.8191803539,0.096,1.34,1.21,0.097,610825058.1,571658733.4808602,0.064,610825058.1,571638980.17,0.064
4,1,optimal,1906.34,5,2000,5,1,piece-wise,1028720,24767195.0,-23.076,1.29,31.05,-23.07,637655009.6,7631550570.1,-10.968,637655009.6,7629104904.1,-10.964
5,1,optimal_fw,0.001,5,2000,5,1,piece-wise,1028720,978302.4841331281,0.049,1.29,1.23,0.047,637655009.6,594047833.6958476,0.068,637655009.6,594031243.84,0.068
6,1,heuristic,1.494,11,2000,5,1,piece-wise,1028720,12810409.0,-11.453,1.29,16.06,-11.45,637655009.6,6811603233.9,-9.682,637655009.6,6810223445.9,-9.68
7,1,heuristic_fw,0.001,11,2000,5,1,piece-wise,1028720,921527.0468366554,0.104,1.29,1.16,0.101,637655009.6,573302109.4176213,0.101,637655009.6,573293780.77,0.101
8,0,optimal,1292.545,2,4000,5,1,piece-wise,1966041,49554280.0,-24.205,1.22,30.8,-24.246,1354681109.1,15351490707.3,-10.332,1354681109.1,15345512855.3,-10.328
9,0,optimal_fw,0.001,2,4000,5,1,piece-wise,1966041,1946380.59,0.01,1.22,1.21,0.008,1354681109.1,1323488315.37,0.023,1354681109.1,1323421487.01,0.023
10,0,heuristic,2.052,5,4000,5,1,piece-wise,1966041,37167676.0,-17.905,1.22,23.1,-17.934,1354681109.1,14228224224.1,-9.503,1354681109.1,14223672277.1,-9.5
11,0,heuristic_fw,0.001,5,4000,5,1,piece-wise,1966041,1888571.14009641,0.039,1.22,1.17,0.041,1354681109.1,1258154386.4956262,0.071,1354681109.1,1258125334.08,0.071
12,1,optimal,1227.913,3,4000,5,1,piece-wise,2000012,46585497.0,-22.293,1.25,29.05,-22.24,1294267793.1,15623490936.4,-11.071,1294267793.1,15617150928.4,-11.066
13,1,optimal_fw,0.001,3,4000,5,1,piece-wise,2000012,1940609.6435879997,0.03,1.25,1.21,0.032,1294267793.1,1231779480.5059998,0.048,1294267793.1,1231729454.09,0.048
14,1,heuristic,1.737,7,4000,5,1,piece-wise,2000012,28714905.0,-13.357,1.25,17.9,-13.32,1294267793.1,14004775094.9,-9.821,1294267793.1,14001313582.9,-9.818
15,1,heuristic_fw,0.001,7,4000,5,1,piece-wise,2000012,1848453.6957938282,0.076,1.25,1.15,0.08,1294267793.1,1183705293.8305027,0.085,1294267793.1,1183668357.37,0.085
