,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,72514,119427.0,-64.70%,1.84,3.02,-64.10%,30720854.1,26549605.0,13.60%,30720854.1,26547797.0,13.60%,0.004
heuristic_fw,5,100,1,piece-wise,72514,46119.3711063824,36.40%,1.84,1.17,36.40%,30720854.1,26646140.069885712,13.30%,30720854.1,26646114.6,13.30%,0.001
