,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,55785,48885.0,12.40%,3.04,2.67,12.20%,13373762.1,12314664.0,7.90%,13373762.1,12314568.0,7.90%,0.001
heuristic_fw,5,50,1,piece-wise,55785,32692.397747290997,41.40%,3.04,1.78,41.40%,13373762.1,12320900.75593,7.90%,13373762.1,12320658.66,7.90%,0.003
