,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,57427,57477.0,-0.10%,2.61,2.61,0.00%,16243341.5,14789058.0,9.00%,16243341.5,14788956.0,9.00%,0.0
heuristic_fw,5,1,piece-wise,57427,36195.21989552981,37.00%,2.61,1.64,37.20%,16243341.5,14807576.773079999,8.80%,16243341.5,14807519.69,8.80%,0.002
