repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,20805,16100.0,22.60%,5.87,4.54,22.70%,2728588.4,2383334.0,12.70%,2728588.4,2383318.0,12.70%,0.0
0,10,heuristic_fw,5,1,piece-wise,20805,12848.0,38.20%,5.87,3.62,38.30%,2728588.4,2385167.32,12.60%,2728588.4,2385124.36,12.60%,0.001
0,50,heuristic,5,1,piece-wise,81769,77919.0,4.70%,4.2,4.0,4.80%,14478024.6,13097384.0,9.50%,14478024.6,13097350.0,9.50%,0.001
0,50,heuristic_fw,5,1,piece-wise,81769,49918.555400781544,39.00%,4.2,2.56,39.00%,14478024.6,13103174.717,9.50%,14478024.6,13102985.35,9.50%,0.001
0,100,heuristic,5,1,piece-wise,74942,89902.0,-20.00%,1.9,2.28,-20.00%,28411420.9,26443649.0,6.90%,28411420.9,26442680.0,6.90%,0.001
0,100,heuristic_fw,5,1,piece-wise,74942,49857.94619543452,33.50%,1.9,1.27,33.20%,28411420.9,26519194.964110862,6.70%,28411420.9,26518973.52,6.70%,0.002
1,10,heuristic,5,1,piece-wise,18000,18000.0,0.00%,4.69,4.69,0.00%,2898543.6,2576612.0,11.10%,2898543.6,2576602.0,11.10%,0.001
1,10,heuristic_fw,5,1,piece-wise,18000,10563.347652122611,41.30%,4.69,2.76,41.20%,2898543.6,2577787.2706329664,11.10%,2898543.6,2577787.39,11.10%,0.001
1,50,heuristic,5,1,piece-wise,57427,57477.0,-0.10%,2.61,2.61,0.00%,16243341.5,14789058.0,9.00%,16243341.5,14788956.0,9.00%,0.0
1,50,heuristic_fw,5,1,piece-wise,57427,36195.21989552981,37.00%,2.61,1.64,37.20%,16243341.5,14807576.773079999,8.80%,16243341.5,14807519.69,8.80%,0.002
1,100,heuristic,5,1,piece-wise,83395,122355.0,-46.70%,1.9,2.78,-46.30%,31797876.1,29574212.0,7.00%,31797876.1,29573311.0,7.00%,0.001
1,100,heuristic_fw,5,1,piece-wise,83395,53697.71425798993,35.60%,1.9,1.22,35.80%,31797876.1,29662377.16516977,6.70%,31797876.1,29662279.72,6.70%,0.002
