no_households,algorithm,penalty_weight,cost_function_type,no_tasks,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final,Average run_time
10,heuristic,1,piece-wise,5.0,19402.5,17050.0,5.28,4.615,2813566.0,2479973.0,2813566.0,2479960.0,0.0005
10,heuristic_fw,1,piece-wise,5.0,19402.5,11705.673826061306,5.28,3.19,2813566.0,2481477.295316483,2813566.0,2481455.875,0.001
50,heuristic,1,piece-wise,5.0,69598.0,67698.0,3.4050000000000002,3.3049999999999997,15360683.05,13943221.0,15360683.05,13943153.0,0.0005
50,heuristic_fw,1,piece-wise,5.0,69598.0,43056.88764815568,3.4050000000000002,2.1,15360683.05,13955375.74504,15360683.05,13955252.52,0.0015
100,heuristic,1,piece-wise,5.0,79168.5,106128.5,1.9,2.53,30104648.5,28008930.5,30104648.5,28007995.5,0.001
100,heuristic_fw,1,piece-wise,5.0,79168.5,51777.83022671222,1.9,1.245,30104648.5,28090786.064640317,30104648.5,28090626.619999997,0.002
