,0,1,2
max_demand,1966041.0,45704077.0,49554280.0
objective,1354681109.1,16270712877.2,15351490707.3
inconvenient,0.0,6682836.0,5977852.0
total_demand,77226235.0,77226235.0,77226235.0
run_time,0.0,1466.1399999999774,1118.9499999999946
cost,1354681109.1,16264030041.2,15345512855.3
PAR,1.22,28.41,30.8
step_size,1.0,0.01,0.0
