,0,1,2,3,4,5,6,7,8,9
max_demand,619413.0,592605.2331520137,560721.15337134,535911.1089596776,530016.0867611212,523655.8937199877,516848.36710162787,505029.07864274783,498968.7296990349,498968.7296990349
run_time,0.0,0.0013759136199951172,0.0017538070678710938,0.001068115234375,0.00044226646423339844,0.0004291534423828125,0.000659942626953125,0.0007550716400146484,0.0004317760467529297,0.00028514862060546875
objective,289644219.5,283069786.52199996,278723202.66613996,276897030.33487374,276493357.5850264,276131651.8726597,275827387.4054154,275470766.14125544,275298855.2888649,275298855.2888649
step_size,1.0,0.044,0.05499999999999999,0.045,0.011,0.012,0.013,0.023,0.012,0.0
inconvenient,0.0,13947.251999999999,7522.3361399999985,8413.724873699999,5265.9450263892995,5288.352659683328,4577.945415424117,6741.761255445245,3384.338864934657,3384.338864934657
cost,289644219.5,283055839.27,278715680.33,276888616.61,276488091.64,276126363.52,275822809.46,275464024.38,275295470.95,275295470.95
total_demand,19440400.0,19440399.999999996,19440400.0,19440400.0,19440400.000000004,19440400.000000007,19440399.999999996,19440400.0,19440400.0,19440400.0
PAR,1.53,1.46,1.38,1.32,1.31,1.29,1.28,1.25,1.23,1.23
