,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,243701.0,7831500.0,0.67,269094934.5,269094934.5,0.0,1.0,0.0
1,220163.45990743136,7831500.000000001,0.74,158690611.88,158353988.98,336622.8999999999,0.10099999999999998,
2,210641.81882673793,7831500.0,0.77,143710871.17240003,143605232.58,105638.5924,0.044,
3,199118.90990001525,7831499.999999999,0.82,131391617.2888256,131250454.65,141162.63882559998,0.055999999999999994,
4,194769.6510983128,7831500.0,0.84,128652343.50194584,128609704.48,42639.021945836794,0.022,
5,190553.77234293282,7831499.999999997,0.86,127732649.39151719,127689429.05,43220.34151719159,0.022,
6,186237.21386899462,7831500.0,0.88,126125622.26214512,126082978.43,42643.83214510459,0.023,
7,186237.21386899462,7831500.0,0.88,126125622.26214512,126082978.43,42643.83214510459,0.0,
8,184224.20051643567,7831499.999999998,0.89,125138735.0278464,125126100.91,12634.117846403848,0.011,
9,184224.20051643567,7831499.999999998,0.89,125138735.0278464,125126100.91,12634.117846403848,0.0,
