,0,1,2,3,4,5,6,7,8,9,10,11,12
PAR,1.28,1.26,1.24,1.22,1.21,1.2,1.19,1.17,1.16,1.15,1.14,1.14,1.14
max_demand,1029892.0,1009448.1294976824,994381.9899839134,979540.7144856547,969769.7958586602,964920.946879367,950519.381132074,941037.9503052817,926992.8412672315,922357.8770608953,917746.0876755909,913157.357237213,913157.357237213
total_demand,38473462.0,38473461.999999985,38473461.99999999,38473462.00000001,38473462.00000001,38473461.99999999,38473462.000000015,38473461.99999999,38473462.00000001,38473461.99999998,38473461.99999999,38473462.0,38473462.0
objective,626420816.6,609660258.5,600175775.2899,591927604.8765014,587302517.2262349,585113388.0628688,580384717.872057,577919729.4388794,574984691.4294168,573965272.7098029,573215822.5101509,572418616.3139492,572418616.3139492
cost,626420816.6,609608509.16,600132129.39,591910036.5,587285003.8,585101323.2,580358574.76,577899896.4,574973784.39,573957912.74,573204310.3,572413803.87,572413803.87
step_size,1.0,0.02,0.015,0.015,0.01,0.005,0.015,0.01,0.015,0.005,0.005,0.005,0.0
inconvenient,0.0,51749.340000000004,43645.899900000004,17568.3765015,17513.426234985,12064.862868825076,26143.112056967624,19833.038879430325,10907.039416808546,7359.969802915957,11512.21015098542,4812.443949245073,4812.443949245073
run_time,0.0,0.0018627643585205078,0.0014388561248779297,0.0014548301696777344,0.001875162124633789,0.0007541179656982422,0.0014650821685791016,0.0011000633239746094,0.0014269351959228516,0.0007977485656738281,0.0007719993591308594,0.0007538795471191406,0.00041604042053222656
