,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,80159,143935.0,-79.60%,2.12,3.82,-80.20%,28077056.1,25354142.0,9.70%,28077056.1,25351877.0,9.70%,0.002
heuristic_fw,5,100,1,piece-wise,80159,50878.34391277915,36.50%,2.12,1.35,36.30%,28077056.1,25431508.935415752,9.40%,28077056.1,25431474.48,9.40%,0.001
