,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,76575,202174.0,-164.00%,1.77,4.68,-164.40%,31863372.7,29060868.0,8.80%,31863372.7,29055908.0,8.80%,0.003
heuristic_fw,5,100,1,piece-wise,76575,49433.08607333621,35.40%,1.77,1.14,35.60%,31863372.7,29169143.74971226,8.50%,31863372.7,29169093.75,8.50%,0.001
