,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,55630,55720.0,-0.20%,2.52,2.52,0.00%,15852438.1,14852775.0,6.30%,15852438.1,14852558.0,6.30%,0.001
heuristic_fw,5,1,piece-wise,55630,35247.432938595986,36.60%,2.52,1.59,36.90%,15852438.1,14872310.4361032,6.20%,15852438.1,14872275.24,6.20%,0.002
