,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PAR,1.23,31.17,20.81,26.67,13.2,22.09,18.58,27.63,19.97,11.7,27.32,14.77,16.31,18.9,12.74,9.02,10.69,17.21,18.35,13.36,13.9,18.19,11.37,9.73,7.9,10.29,15.69,11.1,17.5,17.16,18.43
step_size,1.0,0.011000000000000003,0.015000000000000006,0.009000000000000001,0.017000000000000008,0.008,0.008,0.005,0.005,0.007,0.004,0.006,0.005,0.004,0.003,0.006,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.0
inconvenient,0.0,16596994.0,12037949.0,13134781.0,8716586.0,10575769.0,15873893.0,12311716.0,8063847.0,11530405.0,15529598.0,7390936.0,7040008.0,7891929.0,5195689.0,2963748.0,5103485.0,9157475.0,8457066.0,5200627.0,6787080.0,8561019.0,4029916.0,4306521.0,3431918.0,3849354.0,7272978.0,5215444.0,8094246.0,6594131.0,7180399.0
total_demand,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0,194770760.0
max_demand,4972522.0,126487678.0,84446128.0,108217364.0,53568790.0,89626137.0,75388273.0,112096765.0,81050383.0,47482426.0,110868755.0,59947073.0,66165412.0,76701538.0,51676447.0,36580410.0,43387976.0,69837698.0,74461728.0,54198897.0,56389562.0,73807343.0,46152354.0,39484487.0,32040252.0,41736183.0,63665156.0,45025223.0,71002485.0,69633826.0,74765405.0
cost,3300875616.3,39342900144.0,38484259466.0,38548846503.0,37146208620.8,35902799851.2,39279306242.1,40117629559.2,38781912250.4,36821996839.3,37872464771.5,36911139432.2,37618522923.2,35480713610.0,31852883658.7,28170421326.1,33494203908.4,35516521488.4,36855563180.0,34946426543.2,38531612979.6,37905628821.3,28718599778.3,29454622810.4,30529146076.0,29927920528.0,31667956680.1,35088217882.2,34935592055.6,34906054594.3,35100009856.8
run_time,0.0,4341.750000000052,4905.8800000000465,3388.980000000025,3658.7900000000327,2379.2600000000143,2134.970000000211,4058.0100000000425,4631.910000000005,4199.930000000034,3098.089999999984,3323.7300000000296,3483.0800000000304,3713.0400000000436,4947.200000000046,4366.610000000057,2900.329999999985,4609.870000000036,4551.260000000056,3239.400000000007,3197.1399999999926,2507.550000000022,4368.64000000004,4303.790000000047,2528.319999999992,6231.8200000000425,6037.7500000000155,4279.010000000055,4100.470000000054,4313.310000000039,4097.330000000055
objective,3300875616.3,39359497138.0,38496297415.0,38561981284.0,37154925206.8,35913375620.2,39295180135.1,40129941275.2,38789976097.4,36833527244.3,37887994369.5,36918530368.2,37625562931.2,35488605539.0,31858079347.7,28173385074.1,33499307393.4,35525678963.4,36864020246.0,34951627170.2,38538400059.6,37914189840.3,28722629694.3,29458929331.4,30532577994.0,29931769882.0,31675229658.1,35093433326.2,34943686301.6,34912648725.3,35107190255.8
