,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,76698,68436.0,10.80%,2.07,1.85,10.60%,26615118.1,24850734.0,6.60%,26615118.1,24850378.0,6.60%,0.001
heuristic_fw,5,1,piece-wise,76698,48192.16098608247,37.20%,2.07,1.3,37.20%,26615118.1,24899496.7678328,6.40%,26615118.1,24899446.52,6.40%,0.001
