,0,1,2,3,4,5,6,7,8
step_size,1.0,0.20900000000000005,0.13899999999999998,0.092,0.061,0.08099999999999999,0.013,0.039,0.0
run_time,0.0,0.0,0.002,0.001,0.0,0.002,0.003,0.002,0.001
max_demand,76698.0,131135.0,133728.0,96047.0,86204.0,78405.0,84590.0,82513.0,68436.0
inconvenient,0.0,3221.0,2898.0,2681.0,1195.0,2504.0,936.0,1298.0,356.0
PAR,2.07,3.55,3.62,2.6,2.33,2.12,2.29,2.23,1.85
total_demand,1775027.0,1775027.0,1775027.0,1775027.0,1775027.0,1775027.0,1775027.0,1775027.0,1775027.0
objective,26615118.1,24853656.0,24853444.0,24853145.0,24851586.0,24852977.0,24851325.0,24851689.0,24850734.0
cost,26615118.1,24850435.0,24850546.0,24850464.0,24850391.0,24850473.0,24850389.0,24850391.0,24850378.0
