,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,91047,86089.0,5.40%,1.99,1.88,5.50%,32573232.4,30748469.0,5.60%,32573232.4,30747794.0,5.60%,0.001
heuristic_fw,5,1,piece-wise,91047,57452.70797017551,36.90%,1.99,1.26,36.70%,32573232.4,30822315.051183682,5.40%,32573232.4,30822303.77,5.40%,0.001
