,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
PAR,1.27,1.25,1.23,1.22,1.21,1.2,1.18,1.17,1.16,1.15,1.15,1.14,1.13,1.12,1.12,1.11,1.11,1.11,1.11,1.1,1.1,1.09,1.09,1.09,1.08,1.08,1.08,1.08,1.08,1.07,1.07,1.07,1.07,1.07,1.07
step_size,1.0,0.015000000000000006,0.013000000000000005,0.011000000000000003,0.011000000000000003,0.008,0.012000000000000004,0.009000000000000001,0.009000000000000001,0.007,0.004,0.008,0.00736953983208949,0.006,0.005,0.004,0.003,0.002,0.003,0.002,0.005,0.005,0.002,0.005,0.002,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.0
inconvenient,0.0,182833.80000000008,167395.25660000005,153212.25417740003,151105.82020404862,63810.71343836762,115343.94343873963,66260.31350905135,41717.25617841854,44848.60620675107,31907.421575172993,58225.21262739862,27609.198242734987,40796.58481054359,25520.017075947282,22154.25193169621,13372.397244204913,13321.527205511591,20804.746418383464,12264.024507163233,34818.15987746418,12295.094200612679,19809.697811598773,12616.956510942005,9494.372086978115,4361.307627913022,6474.175692372088,5830.219648615256,8249.066341054155,6326.342933658946,8585.607314132683,5853.465392685867,5294.186534607315,7232.178813465393,7232.178813465393
total_demand,154353389.0,154353389.0,154353389.0,154353389.0,154353389.0,154353389.00000003,154353389.0,154353389.00000003,154353388.99999997,154353388.99999997,154353389.00000003,154353389.00000003,154353389.00000003,154353389.00000006,154353389.00000003,154353388.99999997,154353388.99999997,154353388.99999997,154353389.0,154353389.0,154353389.0,154353388.99999997,154353389.0,154353389.0,154353388.99999997,154353388.99999997,154353389.00000006,154353389.00000003,154353389.0,154353388.99999994,154353388.99999997,154353388.99999994,154353389.0,154353389.00000003,154353389.00000003
max_demand,4075948.0,4015298.434644875,3963464.3902982143,3920160.9474692866,3877549.0468814033,3847420.3033635374,3802560.0579238622,3768474.9352408126,3734753.0831565037,3709231.289094762,3694416.6044929014,3664964.5086929565,3638065.649560592,3616549.3432163424,3598502.725846279,3584319.120089901,3573576.9121026727,3566433.3318553795,3555744.7275933754,3548636.793882916,3530964.9888847764,3513345.438298242,3507607.383884084,3490104.3879799624,3483127.6713073906,3479644.543636083,3476164.899092447,3469216.045459161,3458818.801501704,3455436.828700202,3448529.7283206303,3445081.2075923095,3441682.7503847172,3438241.0766343325,3438241.0766343325
cost,2517600576.5,2467827296.99,2430825588.44,2404451695.11,2382271793.34,2371609951.87,2355699367.14,2346540817.08,2338936147.58,2332883856.5,2329791276.11,2324309235.92,2320026146.38,2317052915.28,2314809485.86,2312846003.66,2311462035.54,2310654350.57,2309790654.92,2309125519.15,2307880603.68,2306793010.7,2306325208.8,2305294586.52,2304943392.11,2304731565.57,2304495841.51,2304200009.74,2303804405.5,2303686550.02,2303524885.54,2303448928.46,2303376320.15,2303303992.77,2303303992.77
run_time,0.0,0.006210803985595703,0.007133960723876953,0.0060100555419921875,0.005981922149658203,0.004338264465332031,0.005470991134643555,0.00460505485534668,0.004620075225830078,0.003998279571533203,0.0025391578674316406,0.0038318634033203125,0.003954887390136719,0.0034029483795166016,0.0029931068420410156,0.0030868053436279297,0.002212047576904297,0.0017740726470947266,0.0021669864654541016,0.0012829303741455078,0.0024871826171875,0.0025987625122070312,0.002283811569213867,0.0025682449340820312,0.001547098159790039,0.0013110637664794922,0.0015530586242675781,0.0017809867858886719,0.0021560192108154297,0.0013527870178222656,0.0017650127410888672,0.00084686279296875,0.0009748935699462891,0.001367807388305664,0.0005347728729248047
objective,2517600576.5,2468010130.79,2430992983.6966,2404604907.3641777,2382422899.1602044,2371673762.5834384,2355814711.0834384,2346607077.393509,2338977864.8361783,2332928705.106207,2329823183.531575,2324367461.1326275,2320053755.578243,2317093711.864811,2314835005.877076,2312868157.9119315,2311475407.937244,2310667672.0972056,2309811459.6664186,2309137783.174507,2307915421.839877,2306805305.7942004,2306345018.497812,2305307203.476511,2304952886.482087,2304735926.877628,2304502315.685693,2304205839.9596486,2303812654.566341,2303692876.3629336,2303533471.147314,2303454781.9253926,2303381614.3365345,2303311224.9488134,2303311224.9488134
