,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,245570.0,8453746.0,0.72,353239536.3,353239536.3,0.0,1.0,0.0
1,227044.13777827675,8453745.999999998,0.78,208279802.7,207773684.1,506118.5999999999,0.07799999999999999,
2,219416.22402333995,8453746.000000002,0.8,182122833.9676,181956846.6,165987.36760000003,0.034,
3,214404.49088837422,8453746.000000002,0.82,170853629.3105452,170781977.12,71652.19054519999,0.023,
4,209720.86449722748,8453746.000000002,0.84,165043515.371808,164979885.92,63629.4518080056,0.022,
5,207208.90612326073,8453746.0,0.85,161620493.2765783,161582210.03,38283.24657830394,0.012,
6,202482.367086034,8453746.000000002,0.87,157926066.2753287,157864306.29,61759.985328699004,0.023,
7,199865.07231391556,8453746.0,0.88,156122209.95019075,156087607.33,34602.62019072691,0.013,
8,197678.2055184625,8453746.000000002,0.89,153889675.8411779,153860097.97,29577.871177902,0.011,
9,195330.61905224095,8453746.0,0.9,153921885.09554586,153889558.03,32327.065545865178,0.012,
10,193215.2022426663,8453746.000000002,0.91,151459629.19227898,151430026.29,29602.90227899548,0.011,
11,193215.2022426663,8453746.000000002,0.91,151459629.19227898,151430026.29,29602.90227899548,0.0,
