,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PAR,1.22,1.21,1.2,1.19,1.17,1.16,1.16,1.14,1.14,1.14,1.13,1.12,1.11,1.11,1.11,1.1,1.1,1.09,1.09,1.09
step_size,1.0,0.015000000000000006,0.009000000000000001,0.008,0.010000000000000002,0.010000000000000002,0.005,0.012015542834345649,0.004,0.003,0.008,0.004,0.007,0.003,0.002,0.007,0.002,0.005,0.002,0.0
inconvenient,0.0,123027.48000000005,79522.43868,83361.49249055999,59669.67507509441,71639.22324924907,41246.968883753754,41899.24358946845,27058.071025642126,16943.984786923073,38263.09612170461,21106.415615513182,25723.01609069141,20843.462951727928,11357.905074096543,15588.860664481323,14756.780278671038,11215.896098606645,9704.802207802788,9704.802207802788
total_demand,117887409.0,117887408.99999997,117887409.00000001,117887408.99999999,117887409.0,117887409.0,117887408.99999999,117887409.0,117887409.00000003,117887409.0,117887409.00000003,117887409.0,117887409.00000007,117887409.00000003,117887409.0,117887409.00000004,117887409.0,117887409.0,117887409.00000001,117887409.00000001
max_demand,3008049.0,2963242.745579674,2936679.9890689026,2913268.611947369,2884266.6739342515,2855553.453688205,2841304.2134130416,2807351.7866862207,2796139.2124235965,2787759.180407824,2765535.0083020856,2754489.4504195526,2735265.7722342936,2727068.177979642,2721616.768691861,2702622.5101017733,2697219.96770408,2683760.81310652,2678395.97923912,2678395.97923912
cost,1983708981.0,1937107735.03,1913709034.4,1896806039.69,1878260769.15,1861496437.78,1854348835.6,1840967064.31,1836828478.78,1833851049.28,1827848556.22,1825453272.84,1821370802.1,1819692471.27,1818655443.29,1815590487.9,1814842690.0,1813109682.21,1812620388.6,1812620388.6
run_time,0.0,0.007825136184692383,0.004842996597290039,0.0046918392181396484,0.005468845367431641,0.005382061004638672,0.0031728744506835938,0.006245851516723633,0.0033652782440185547,0.0026788711547851562,0.005884885787963867,0.00549769401550293,0.007501125335693359,0.002335071563720703,0.0020949840545654297,0.004662990570068359,0.0034101009368896484,0.0031042098999023438,0.0013928413391113281,0.0005152225494384766
objective,1983708981.0,1937230762.51,1913788556.83868,1896889401.1824906,1878320438.8250751,1861568077.0032492,1854390082.5688837,1841008963.5535893,1836855536.8510256,1833867993.264787,1827886819.3161218,1825474379.2556155,1821396525.1160905,1819713314.7329516,1818666801.195074,1815606076.7606645,1814857446.7802787,1813120898.1060987,1812630093.4022076,1812630093.4022076
