,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.006,2,10,5,1,piece-wise,23550,23550.0,0.0,5.72,5.72,0.0,3173651.6,3173731.6,-0.0,3173651.6,3173651.6,0.0
heuristic_fw,0.006,2,10,5,1,piece-wise,23550,14629.240448916391,0.379,5.72,3.55,0.379,3173651.6,2769036.0700000003,0.127,3173651.6,2768904.47,0.128
