,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,reschedule_time
0,72346.0,1540049.0,0.44,46968427.9,46968427.9,0.0,1.0,0.0
1,54067.74104055833,1540049.0000000002,0.59,22748504.92,22715298.82,33206.100000000006,0.28900000000000003,
2,48654.38687499042,1540049.0000000002,0.66,22167497.2541,22160167.58,7329.674099999999,0.119,
3,46609.88693187272,1540049.0,0.69,22098011.1346655,22095892.97,2118.1646655,0.045,
4,45602.21109751466,1540048.9999999998,0.7,22080420.512212694,22080073.63,346.8822126935,0.023,
5,45602.21109751466,1540048.9999999998,0.7,22080420.512212694,22080073.63,346.8822126935,0.0,
