,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,56185,60550.0,-7.80%,2.62,2.83,-8.00%,16307108.4,14385749.0,11.80%,16307108.4,14385672.0,11.80%,0.051
heuristic_fw,5,50,1,piece-wise,56185,34913.757312795526,37.90%,2.62,1.63,37.80%,16307108.4,14395097.36518304,11.70%,16307108.4,14395094.8,11.70%,0.004
