,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PAR,1.27,1.24,1.22,1.21,1.2,1.19,1.18,1.16,1.16,1.15,1.15,1.14,1.14,1.13,1.13,1.11,1.11,1.11
max_demand,1009286.0,989626.3433259912,974946.4180804328,965353.5461850805,956124.6108868844,946587.2678932877,937665.8646210522,928312.6476214571,923780.9193833498,919162.0147864331,914566.2047125009,909993.3736889384,905699.1568204938,901170.6610363913,897275.4327312093,888325.1102897155,883883.4847382669,883883.4847382669
total_demand,38276525.0,38276525.0,38276525.00000001,38276525.00000001,38276524.99999999,38276525.00000001,38276525.0,38276524.99999999,38276525.0,38276525.00000001,38276525.0,38276525.0,38276524.999999985,38276525.0,38276525.0,38276524.99999999,38276525.0,38276525.0
objective,632643216.6,613159531.76,602698527.6624,596252588.760076,591418264.6733992,587358693.215566,583707444.5840443,581135652.9451596,579643531.5941741,578377673.4566791,577297509.9007167,576304465.6653464,575467774.9511232,574670342.8425944,574076776.412837,573232034.1111716,572774028.3340442,572774028.3340442
cost,632643216.6,613123505.92,602662502.67,596232256.1,591394394.23,587336240.62,583691888.1,581115132.78,579632948.93,578372681.6,577290018.97,576293431.89,575456206.47,574666212.41,574068812.53,573227962.92,572771678.58,572771678.58
step_size,1.0,0.02,0.015,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.0
inconvenient,0.0,36025.840000000004,36024.9924,20332.660076,23870.44339924,22452.595566007603,15556.484044339924,20520.1651595566,10582.664174202217,4991.856679128989,7490.930716604355,11033.775346416978,11568.481123267915,4130.43259438366,7963.882837028083,4071.1911716297195,2349.7540441418514,2349.7540441418514
run_time,0.0,0.0018181800842285156,0.0014331340789794922,0.0010921955108642578,0.0010449886322021484,0.0010280609130859375,0.0010290145874023438,0.0010612010955810547,0.0006940364837646484,0.0006968975067138672,0.0006859302520751953,0.0006871223449707031,0.0006890296936035156,0.0006861686706542969,0.0007460117340087891,0.0009799003601074219,0.0006699562072753906,0.00036907196044921875
