,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,56559,50197.0,11.20%,2.71,2.4,11.40%,15069570.8,14036792.0,6.90%,15069570.8,14036736.0,6.90%,0.05
heuristic_fw,5,50,1,piece-wise,56559,32635.95439875975,42.30%,2.71,1.56,42.40%,15069570.8,14038721.25984,6.80%,15069570.8,14038717.13,6.80%,0.005
