,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,58431,51111.0,12.50%,3.15,2.76,12.40%,13667640.3,12449019.0,8.90%,13667640.3,12448996.0,8.90%,0.0
heuristic_fw,5,1,piece-wise,58431,34674.011244068395,40.70%,3.15,1.87,40.60%,13667640.3,12456263.513113001,8.90%,13667640.3,12456261.97,8.90%,0.002
