,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,27.5,14.8,14.3,15.4,15.1,15.8,14.3,14.0,17.0,14.6,15.8,15.8,17.0,18.9,36.3,230.4,115.5,42.7,18.9,18.9,36.3,144.6,36.3,230.4,115.5,17.0,31.3,36.3,115.5,50.9,36.3,144.6,50.9,61.6,24.5,24.5,36.3,182.1,115.5,27.5,36.3,20.3,50.9,31.3,18.9,27.5,50.9,15.4
1,24.5,17.0,14.6,14.8,14.8,16.3,36.3,50.9,15.8,50.9,15.4,15.4,16.3,17.8,27.5,144.6,75.2,36.3,17.8,17.0,27.5,92.8,27.5,144.6,92.8,15.8,24.5,31.3,75.2,36.3,27.5,92.8,36.3,50.9,22.1,20.3,31.3,115.5,75.2,22.1,27.5,17.8,36.3,24.5,17.8,24.5,36.3,14.8
2,22.1,16.3,15.4,18.9,42.7,16.3,31.3,50.9,15.8,50.9,15.1,15.4,15.8,17.0,24.5,144.6,61.6,31.3,17.0,17.0,24.5,92.8,24.5,115.5,75.2,15.8,24.5,31.3,61.6,31.3,24.5,92.8,36.3,42.7,20.3,20.3,27.5,115.5,61.6,22.1,24.5,17.8,31.3,22.1,17.0,22.1,36.3,14.8
3,22.1,16.3,15.4,17.8,36.3,15.8,31.3,50.9,15.8,42.7,15.8,20.3,31.3,17.0,24.5,115.5,61.6,31.3,17.0,17.0,24.5,75.2,24.5,115.5,61.6,17.8,22.1,27.5,61.6,31.3,24.5,75.2,31.3,36.3,20.3,20.3,24.5,92.8,61.6,20.3,24.5,17.0,31.3,22.1,17.0,22.1,36.3,15.1
4,20.3,24.5,31.3,18.9,36.3,15.8,27.5,42.7,15.8,36.3,20.3,20.3,27.5,17.0,24.5,115.5,50.9,27.5,17.0,16.3,24.5,61.6,22.1,92.8,61.6,17.0,22.1,24.5,50.9,27.5,22.1,61.6,31.3,36.3,20.3,18.9,24.5,92.8,50.9,20.3,22.1,17.0,31.3,22.1,16.3,20.3,31.3,15.4
5,20.3,22.1,31.3,17.8,31.3,17.0,24.5,36.3,20.3,36.3,20.3,18.9,24.5,16.3,22.1,92.8,50.9,24.5,24.5,36.3,24.5,61.6,22.1,92.8,50.9,17.0,20.3,24.5,50.9,24.5,22.1,61.6,27.5,31.3,18.9,17.8,24.5,75.2,50.9,20.3,22.1,17.0,27.5,20.3,16.3,20.3,31.3,15.4
6,20.3,22.1,27.5,17.8,31.3,17.0,24.5,36.3,20.3,31.3,20.3,20.3,24.5,27.5,22.1,92.8,42.7,24.5,24.5,31.3,22.1,50.9,20.3,75.2,50.9,17.0,22.1,22.1,42.7,24.5,22.1,50.9,24.5,31.3,22.1,24.5,22.1,61.6,42.7,18.9,22.1,16.3,24.5,20.3,17.0,20.3,27.5,16.3
7,22.1,22.1,27.5,17.8,27.5,17.8,24.5,31.3,18.9,31.3,20.3,20.3,24.5,24.5,22.1,75.2,36.3,22.1,22.1,31.3,22.1,50.9,20.3,61.6,42.7,24.5,24.5,22.1,36.3,24.5,20.3,50.9,24.5,27.5,22.1,22.1,22.1,61.6,36.3,18.9,22.1,22.1,24.5,20.3,17.8,20.3,24.5,17.0
8,22.1,22.1,27.5,17.8,27.5,17.8,24.5,31.3,18.9,31.3,20.3,20.3,24.5,24.5,22.1,75.2,36.3,22.1,22.1,31.3,22.1,50.9,20.3,61.6,42.7,24.5,24.5,22.1,36.3,24.5,20.3,50.9,24.5,27.5,22.1,22.1,22.1,61.6,36.3,18.9,22.1,22.1,24.5,20.3,17.8,20.3,24.5,17.0
