,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,30,720,3536,4360,2168,3428,220,2000,4616,80,1650,550,0,7190,4736,6000,6140,424,280,0,4120,5100,5415,9305,15855,8290,830,926,240,80,8090,17935,17745,0,0,360,10920,8830,2700,1300,5250,8800,8400,0,1455,1950,1300,10
1,68,768,3400,4360,2168,3212,144,420,2896,80,1650,1550,3000,7200,4766,6000,6000,4,240,240,4280,8720,9030,13745,0,9250,8130,8226,240,7415,18935,0,0,10716,7216,360,8520,1630,300,1300,5250,8800,8400,0,1455,1950,1300,0
2,0,700,3400,4360,2168,3232,3604,3600,3816,216,1650,550,0,7170,4736,6000,6420,424,0,0,4120,5260,5685,5815,12015,6850,830,926,240,8080,0,17935,17835,0,0,360,8520,2630,3300,1300,10050,16000,8400,0,1527,2166,1444,0
3,0,700,3400,4360,2168,3212,144,420,3032,80,1650,1750,3600,10770,4736,6000,6000,24,0,0,4120,5100,5655,5785,12175,6850,1046,1142,375,8215,0,0,0,21300,14200,360,8520,1630,3300,2330,10080,16000,8400,0,1455,1950,1300,0
4,68,768,3400,4360,2168,3212,220,216,2616,80,1650,550,280,7590,4876,6000,6000,4,0,0,4120,5100,5435,7945,15615,9250,830,1166,480,240,8090,17935,17745,0,0,360,8520,1630,300,1300,5250,8800,10420,6830,8665,1950,1300,0
