,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,24000,24000.0,0.00%,5.84,5.84,0.00%,3214206.2,2761704.0,14.10%,3214206.2,2761696.0,14.10%,0.0
heuristic_fw,5,1,piece-wise,24000,14605.698762944405,39.10%,5.84,3.55,39.20%,3214206.2,2764797.9850480002,14.00%,3214206.2,2764800.56,14.00%,0.002
