,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
PAR,1.29,1.27,1.25,1.23,1.22,1.21,1.2,1.18,1.16,1.15,1.14,1.13,1.13,1.12,1.11,1.11,1.1,1.1,1.1,1.09,1.09,1.06,1.06
step_size,1.0,0.020112076855540745,0.010000000000000002,0.017000000000000008,0.010000000000000002,0.009000000000000001,0.006,0.017321714085787743,0.014323184630628486,0.008,0.015000000000000006,0.007,0.004,0.004,0.008409442445958586,0.003,0.004,0.004,0.003,0.004,0.001,0.029719767892058616,0.0
inconvenient,0.0,50085.50723489023,30108.644927651105,26734.342036229944,22150.346579637706,13278.209880783263,13986.1967407153,25418.468779877432,27127.25990809641,16868.541920735228,16663.50687118898,15994.891451901678,6200.328434192393,4947.782686263231,5471.092578961113,4780.028722263117,4078.8358851109474,3248.0686564595567,3083.0637940306215,2427.1997448238776,1787.2758002551761,1150.087381167316,1150.087381167316
total_demand,38531958.0,38531958.0,38531958.00000001,38531957.999999985,38531957.99999999,38531958.00000001,38531958.000000015,38531957.999999985,38531958.00000001,38531958.00000001,38531958.00000001,38531958.00000001,38531958.000000015,38531958.00000001,38531958.0,38531958.00000001,38531958.00000001,38531957.99999999,38531957.999999985,38531957.99999999,38531957.99999999,38531958.0,38531958.0
max_demand,1036565.0,1015915.4832964417,1005801.9229634539,988839.3977768878,978995.3831186985,970219.5863920406,964412.8027776399,947842.9537613647,934356.6922360132,926907.9484268855,913101.234054401,906728.6686153315,903107.1906868739,899500.1769557447,891963.5880169463,889290.372251696,885738.5429486505,882200.9036600492,879556.9466695791,876044.0006952406,875167.9586945453,849500.1243354139,849500.1243354139
cost,623960928.1,607820951.99,601526949.16,593407700.58,589204737.3,585942451.88,583847158.84,579121721.42,576040607.47,574436462.72,572307034.31,571480109.57,570999144.12,570693770.81,570107907.6,569913365.11,569684636.7,569511079.24,569348759.48,569228686.13,569184844.64,568720150.23,568720150.23
run_time,0.0,0.008128166198730469,0.004992008209228516,0.007521629333496094,0.0050580501556396484,0.005510091781616211,0.003200054168701172,0.007463932037353516,0.006453990936279297,0.004095792770385742,0.0064389705657958984,0.0036869049072265625,0.0023360252380371094,0.0024099349975585938,0.003220081329345703,0.0016980171203613281,0.0021224021911621094,0.002209901809692383,0.0018420219421386719,0.0021429061889648438,0.0009608268737792969,0.005800962448120117,0.0005321502685546875
objective,623960928.1,607871037.497235,601557057.8049276,593434434.9220363,589226887.6465796,585955730.0898808,583861145.0367408,579147139.8887799,576067734.7299081,574453331.2619208,572323697.8168712,571496104.461452,571005344.4484342,570698718.5926862,570113378.692579,569918145.1387223,569688715.5358852,569514327.3086565,569351842.543794,569231113.3297448,569186631.9158002,568721300.3173811,568721300.3173811
