,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.783,10,2000,5,1,piece-wise,957788,18737752.0,-18.564,1.22,23.84,-18.541,644715250.1,6916830415.6,-9.729,644715250.1,6914684912.6,-9.725
heuristic_fw,0.001,10,2000,5,1,piece-wise,957788,875264.5188862922,0.086,1.22,1.11,0.09,644715250.1,586576403.2967448,0.09,644715250.1,586567301.22,0.09
