,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,78561,90445.0,-15.10%,1.96,2.26,-15.30%,28934055.1,26927061.0,6.90%,28934055.1,26926536.0,6.90%,0.001
heuristic_fw,5,1,piece-wise,78561,49524.90685290515,37.00%,1.96,1.24,36.70%,28934055.1,26983404.180577625,6.70%,28934055.1,26983373.95,6.70%,0.001
