,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,1,piece-wise,90076,234296.0,-160.10%,2.05,5.32,-159.50%,31735921.7,29577843.0,6.80%,31735921.7,29572329.0,6.80%,0.001
heuristic_fw,5,1,piece-wise,90076,59338.13142504981,34.10%,2.05,1.35,34.10%,31735921.7,29659204.99914067,6.50%,31735921.7,29659137.48,6.50%,0.001
