,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,100,1,piece-wise,96638,105560.0,-9.20%,2.4,2.62,-9.20%,28763457.9,27093479.0,5.80%,28763457.9,27093290.0,5.80%,0.002
heuristic_fw,5,100,1,piece-wise,96638,60349.64038159183,37.60%,2.4,1.5,37.50%,28763457.9,27118354.2102,5.70%,28763457.9,27118026.35,5.70%,0.002
