,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
PAR,1.38,18.06,21.75,22.25,14.63,23.06,14.41,10.82,11.5,17.93,12.37,23.2,11.15,15.7,13.68,23.56,3.1,26.49,3.12,18.82,2.66,1.88,18.97,2.2,2.23,1.52,3.96,3.25,2.78,2.85
step_size,1.0,0.02100000000000001,0.01502325639856263,0.016000000000000007,0.01818191955384849,0.011000000000000003,0.013000000000000005,0.014000000000000005,0.013000000000000005,0.008,0.012000000000000004,0.005,0.011233905429469126,0.005,0.008,0.003,0.02878859997148833,0.002,0.01932837611795711,0.001,0.010828482269367716,0.012908517873788918,0.001,0.006096244591989253,0.003,0.006,0.002,0.001,0.001,0.0
inconvenient,0.0,1599711.0,2069770.0,2147374.0,2301262.0,2256256.0,1022150.0,966926.0,1028325.0,914930.0,1498589.0,1563658.0,1697472.0,2105524.0,1405448.0,1238521.0,172375.0,1762738.0,139459.0,1963703.0,146536.0,72784.0,1931204.0,66608.0,52279.0,30682.0,105389.0,64727.0,47988.0,57076.0
total_demand,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0,38114657.0
max_demand,1093931.0,14340676.0,17272554.0,17665907.0,11613948.0,18314070.0,11442809.0,8593143.0,9135002.0,14240236.0,9819729.0,18424895.0,8851705.0,12469038.0,10866037.0,18705855.0,2460826.0,21037253.0,2476544.0,14946538.0,2112566.0,1489728.0,15066454.0,1747040.0,1771066.0,1204527.0,3144722.0,2582612.0,2210020.0,2265627.0
cost,584935691.6,6584449513.8,6502451404.0,6622692291.5,6880508924.4,6756248212.9,6350153109.2,6584725950.2,6276164585.4,6444058569.4,6349097380.9,6976473905.6,5755290276.7,7181197218.8,5809007312.0,5946845279.8,3037024819.9,6273981559.6,2619446666.2,6033752880.2,2627921354.5,1417288369.6,6139154508.0,1392030048.8,1367751251.1,854492155.3,2123991493.1,1543484420.6,1314271993.2,1492790894.0
run_time,0.0,0.8810000000000007,2.1029999999998825,0.8170000000000006,1.205999999999988,0.7530000000000006,0.6150000000000004,0.5540000000000004,1.2549999999999817,0.6740000000000005,0.5670000000000004,0.6910000000000005,0.9300000000000007,0.5080000000000003,0.5380000000000004,0.5260000000000004,0.5180000000000003,0.5140000000000003,0.7090000000000005,0.5510000000000004,0.5260000000000004,0.4990000000000004,0.5830000000000004,0.5630000000000004,0.7080000000000005,0.6190000000000004,0.7840000000000006,0.5510000000000004,0.8500000000000006,0.5270000000000004
objective,584935691.6,6586049224.8,6504521174.0,6624839665.5,6882810186.4,6758504468.9,6351175259.2,6585692876.2,6277192910.4,6444973499.4,6350595969.9,6978037563.6,5756987748.7,7183302742.8,5810412760.0,5948083800.8,3037197194.9,6275744297.6,2619586125.2,6035716583.2,2628067890.5,1417361153.6,6141085712.0,1392096656.8,1367803530.1,854522837.3,2124096882.1,1543549147.6,1314319981.2,1492847970.0
