,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
heuristic,5,50,1,piece-wise,66507,65907.0,0.90%,3.18,3.15,0.90%,15181669.4,14049242.0,7.50%,15181669.4,14049084.0,7.50%,0.001
heuristic_fw,5,50,1,piece-wise,66507,38491.96716962304,42.10%,3.18,1.84,42.10%,15181669.4,14050753.50556,7.40%,15181669.4,14050756.75,7.40%,0.001
