,0,1,2,3,4,5,6
run_time,0.0,1.1,1.06,1.1,1.06,1.08,1.09
inconvenient,0.0,161.0,156.0,82.0,143.0,74.0,56.0
step_size,1.0,0.3420000000000001,0.14,0.025,0.07600000000000001,0.012,0.0
total_demand,136095.0,136095.0,136095.0,136095.0,136095.0,136095.0,136095.0
max_demand,13199.0,18500.0,18650.0,16799.0,12900.0,18500.0,13131.0
PAR,4.66,6.52,6.58,5.92,4.55,6.52,4.63
objective,2294681.8,1905491.0,1905486.0,1905412.0,1905473.0,1905404.0,1905386.0
cost,2294681.8,1905330.0,1905330.0,1905330.0,1905330.0,1905330.0,1905330.0
