repeat,no_households,algorithm,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,10,heuristic,5,1,piece-wise,21700,33600.0,-54.80%,6.03,9.33,-54.70%,2814585.5,2420459.0,14.00%,2814585.5,2420278.0,14.00%,0.0
0,10,heuristic_fw,5,1,piece-wise,21700,21200.9,2.30%,6.03,5.89,2.30%,2814585.5,2703101.853,4.00%,2814585.5,2703097.69,4.00%,0.0
0,50,heuristic,5,1,piece-wise,45971,54566.0,-18.70%,2.25,2.67,-18.70%,15310208.7,13748096.0,10.20%,15310208.7,13747724.0,10.20%,0.001
0,50,heuristic_fw,5,1,piece-wise,45971,29341.393206982604,36.20%,2.25,1.43,36.40%,15310208.7,13774385.8463117,10.00%,15310208.7,13774381.44,10.00%,0.002
0,100,heuristic,5,1,piece-wise,80331,80432.0,-0.10%,2.04,2.04,0.00%,28551121.3,26493599.0,7.20%,28551121.3,26493096.0,7.20%,0.001
0,100,heuristic_fw,5,1,piece-wise,80331,50752.057124382525,36.80%,2.04,1.29,36.80%,28551121.3,26540145.673175193,7.00%,28551121.3,26540123.02,7.00%,0.002
1,10,heuristic,5,1,piece-wise,14830,14830.0,0.00%,6.06,6.06,0.00%,1912354.0,1644998.0,14.00%,1912354.0,1644972.0,14.00%,0.0
1,10,heuristic_fw,5,1,piece-wise,14830,8387.654190803723,43.40%,6.06,3.43,43.40%,1912354.0,1645394.33,14.00%,1912354.0,1645327.55,14.00%,0.0
1,50,heuristic,5,1,piece-wise,36719,36597.0,0.30%,1.91,1.9,0.50%,13817529.9,12914158.0,6.50%,13817529.9,12913806.0,6.50%,0.001
1,50,heuristic_fw,5,1,piece-wise,36719,23448.178000909433,36.10%,1.91,1.22,36.10%,13817529.9,12946072.882548004,6.30%,13817529.9,12946065.87,6.30%,0.001
1,100,heuristic,5,1,piece-wise,77909,85964.0,-10.30%,1.88,2.07,-10.10%,29941814.9,27894194.0,6.80%,29941814.9,27893557.0,6.80%,0.001
1,100,heuristic_fw,5,1,piece-wise,77909,49322.66985230451,36.70%,1.88,1.19,36.70%,29941814.9,27965545.300610986,6.60%,29941814.9,27965518.92,6.60%,0.002
